LOCATION_NAME,CITY_NAME,POSTAL_CD,TERRITORY_CD,FIPS_COUNTY_CD,LATITUDE_MEAS,LONGITUDE_MEAS
CHERRY HILL,CHERRY HILL,8002,NJ,U,39.924045,-75.037583
GUILFORD,GUILFORD,6437,CT,U,41.3017884,-72.7093312
WOODBRIDGE,ISELIN,8830,NJ,U,40.5549767,-74.3165411
NORTH BRUNSWICK,NORTH BRUNSWICK,8902,NJ,U,40.462958,-74.458852
CLOSTER,CLOSTER,7624,NJ,U,40.9689706,-73.9550911
DEPTFORD,DEPTFORD,8096,NJ,U,39.8281757,-75.0972588
MATAWAN,MATAWAN,7747,NJ,U,40.424851,-74.270436
HARMON/BRIDGEWATER,BRIDGEWATER,88079252,NJ,U,40.561258,-74.55719
MORRIS PLAINS,MORRIS PLAINS,7950,NJ,U,40.844016,-74.467051
"DEPTFORD, NJ",DEPTFORD,8096,NJ,U,39.8281823,-75.0961815
HAMILTON,HAMILTON,8691,NJ,U,40.192511,-74.641169
WATERFORD,WATERFORD,6385,CT,U,41.3748225,-72.1449958
WEST CALDWELL,WEST CALDWELL,7006,NJ,U,40.8509303,-74.2945378
DEPTFORD,DEPTFORD,80965662,NJ,U,39.827319,-75.096713
STAMFORD,STAMFORD,6905,CT,U,41.0672423,-73.546219
PARAMUS,PARAMUS,7652,NJ,U,40.9222386,-74.0743803
SHELTON,SHELTON,6484,CT,U,41.2647214,-73.1304463
GILLETTE,PEMBROKE PINES,7933,NJ,U,40.6682962,-74.4794486
BRICK,BRICK,8723,NJ,U,40.0547304,-74.1561212
CHERRY HILL BBBABY,CHERRY HILL,80342301,NJ,U,39.9160576,-75.0080231
WETHERSFIELD,WETHERSFIELD,6109,CT,U,41.6930654,-72.6579672
JERSEY CITY,JERSEY CITY,7302,NJ,U,40.724411,-74.040091
RARITAN,RARITAN,8869,NJ,U,40.5754143,-74.6328282
IKEA DRIVE,PARAMUS,76521253,NJ,U,40.922004,-74.074133
ELIZABETH,ELIZABETH,7201,NJ,U,40.660944,-74.1732656
EAST HANOVER,EAST HANOVER,7936,NJ,U,40.8023343,-74.361784
BRIDGEWATER BBBABY,BRIDGEWATER,88072401,NJ,U,40.577614,-74.630982
CHELSEA BBBABY,NEW YORK,7094,NJ,U,40.7458581,-73.9946806
MT OLIVE,FLANDERS,7836,NJ,U,40.883046,-74.706517
ROCKAWAY,ROCKAWAY,7866,NJ,U,40.90722,-74.562452
FAIRFIELD,FAIRFIELD,6824,CT,U,41.1508911,-73.243012
HOLMDEL,HOLMDEL,7733,NJ,U,40.415517,-74.15989
BRICK,BRICK,8723,NJ,U,40.0547304,-74.1561212
EAST HANOVER,EAST HANOVER,7936,NJ,U,40.8042939,-74.3659704
ORANGE,ORANGE,6477,CT,U,41.261513,-73.002641
SOUTHINGTON,SOUTHINGTON,6489,CT,U,41.6395661,-72.8712445
SIMSBURY,SIMSBURY,6070,CT,U,41.8173342,-72.8649798
NEWTON,NEWTON,7860,NJ,U,41.072539,-74.740598
TOMS RIVER,TOMS RIVER,8753,NJ,U,39.9829964,-74.1823375
MANALAPAN,MANALAPAN,7726,NJ,U,40.3135001,-74.3060001
PARAMUS,PARAMUS,7652,NJ,U,40.965287,-74.07533
MIDDLETOWN,MIDDLETOWN,7748,NJ,U,40.4051786,-74.1255641
WEST FARMS,FARMINGTON,6032,CT,U,41.718482,-72.760606
"WOODLAND PARK, NJ",WOODLAND PARK,7424,NJ,U,40.8592391,-74.465927
KILLINGLY,DAYVILLE,6241,CT,U,41.841341,-71.882393
HARMON / IKEA DRIVE,PARAMUS,76529019,NJ,U,40.935,-74.0197
WATCHUNG,WATCHUNG,7069,NJ,U,40.641127,-74.415795
HACKENSACK,HACKENSACK,7601,NJ,U,40.8764962,-74.0656436
WATERFORD,WATERFORD,6385,CT,U,41.372991,-72.144
CLIFTON,CLIFTON,7013,NJ,U,40.830355,-74.13807
RAMSEY,RAMSEY,7446,NJ,U,41.069356,-74.139457
SOUTH PLAINFIELD,SOUTH PLAINFIELD,7080,NJ,U,40.5585391,-74.4382724
WAYNE,WAYNE,7470,NJ,U,40.93866,-74.270657
BRICK,BRICK,8723,NJ,U,40.0606723,-74.1405174
MANAHAWKIN,MANAHAWKIN,8050,NJ,U,39.696949,-74.265368
ROCKAWAY,ROCKAWAY,78661649,NJ,U,40.907722,-74.548309
TOTOWA BBBABY,TOTOWA,75121735,NJ,U,40.898095,-74.240144
VALLEY RIDGE,WAYNE,7470,NJ,U,40.9303521,-74.2279088
DANBURY,DANBURY,6810,CT,U,41.377197,-73.487374
MANCHESTER,MANCHESTER,6040,CT,U,41.809604,-72.530109
MT LAUREL,MT LAUREL,8054,NJ,U,39.9680946,-74.9137428
NORWALK,NORWALK,6851,CT,U,41.126978,-73.3845802
SUCCUSUNNA,succusunna,7876,NJ,U,40.8704808,-74.6467435
"MAYS LANDING, NJ",MAYS LANDING,8330,NJ,U,39.451683,-74.63776
CARLSTADT,CARLSTADT,7072,NJ,U,40.8416176,-74.1020413
FLEMINGTON,FLEMINGTON,8822,NJ,U,40.498102,-74.85672
WEST LONG BRANCH,WEST LONG BRANCH,77641026,NJ,U,40.2915165,-74.0353789
EATONTOWN,EATONTOWN,7724,NJ,U,40.289719,-74.0449708
ROCKAWAY,ROCKAWAY,7866,NJ,U,40.887091,-74.528438
SEAVIEW SQUARE,OCEAN,7712,NJ,U,40.228444,-74.044718
HARMON / CHERRY HILL,CHERRY HILL,80029122,NJ,U,33.724321,-117.790335
PARAMUS,PARAMUS,7652,NJ,U,40.918022,-74.059182
MILLBURN,SHORT HILLS,7078,NJ,U,40.720026,-74.33006
DEPTFORD,X,8096,NJ,U,39.8281812,-75.0967229
ORANGE,ORANGE,6477,CT,U,41.262436,-73.001394
EDGEWATER,EDGEWATER,7020,NJ,U,40.8199349,-73.9770593
TORRINGTON,TORRINGTON,6790,CT,U,41.8184533,-73.0755029
DANBURY,DANBURY,6810,CT,U,41.375623,-73.476313
BUTLER,KINNELON,7405,NJ,U,40.9905314,-74.3330718
"SPRINGFIELD, NJ",SPRINGFIELD,7081,NJ,U,40.685001,-74.3317335
HAMDEN,HAMDEN,6514,CT,U,41.3673714,-72.9192501
EDGEWATER,EDGEWATER,7020,NJ,U,40.8110603,-73.9828924
MANCHESTER,MANCHESTER,6040,CT,U,41.812572,-72.531697
EDISON,EDISON,8817,NJ,U,40.5162354,-74.3766022
SPRINGFIELD,SPRINGFIELD,7081,NJ,U,40.718757,-74.330373
PRINCETON,PRINCETON,85405938,NJ,U,40.300224,-74.679577
BRIDGEWATER,BRIDGEWATER,8807,NJ,U,40.5617136,-74.5560499
LAWRENCEVILLE,LAWRENCEVILLE,8648,NJ,U,40.297338,-74.685609
PARSIPPANY,PARSIPPANY,7054,NJ,U,40.87241513,-74.42837602
CHERRY HILL,CHERRY HILL,8002,NJ,U,39.923764,-75.037036
PARAMUS BBBABY,PARAMUS,76523613,NJ,U,40.965528,-74.075376
MATAWAN,ABERDEEN,7747,NJ,U,40.397946,-74.224385
WOODBRIDGE,ISELIN,8830,NJ,U,40.559558,-74.308046
MILFORD,MILFORD,64602703,CT,U,41.236496,-73.033989
SHREWSBURY,SHREWSBURY,77024139,NJ,U,40.3335892,-74.0630453
NEWTON,NEWTON,7860,NJ,U,41.067922,-74.743405
ENFIELD,ENFIELD,6082,CT,U,41.9898916,-72.582993
HOWELL,HOWELL,7731,NJ,U,40.1526084,-74.2280434
GREENBROOK,ROCKVILLE,8812,NJ,U,40.5892962,-74.5012245
"ROCKAWAY, NJ",ROCKAWAY,7866,NJ,U,40.907416,-74.548584
BROOKFIELD,BROOKFIELD,6804,CT,U,41.4365147,-73.4132361
MANALAPAN,MANALAPAN,7726,NJ,U,40.288837,-74.29554
TURNERSVILLE,SEWELL,8080,NJ,U,39.71636111,-75.03042298
FRANKLIN,FRANKLIN,7416,NJ,U,41.103017,-74.580801
FREEHOLD,FREEHOLD,7728,NJ,U,40.2558065,-74.2867027
MILFORD,MILFORD,6460,CT,U,41.2371072,-73.0391802
"BRIDGEWATER, NJ",BRIDGEWATER,8807,NJ,U,40.5821985,-74.6221007
LIVINGSTON,LIVINGSTON,70391740,NJ,U,40.798053,-74.3476589
TOTOWA,TOTOWA,7512,NJ,U,40.895681,-74.234486
NORWALK,NORWALK,6851,CT,U,41.1318525,-73.4237643
LIBERTY VIEW BBBABY,BROOKLYN,7094,NJ,U,40.6593468,-74.0044481
WESTWOOD,WESTWOOD,7675,NJ,U,40.9973398,-74.0388428
CLIFTON,CLIFTON,7014,NJ,U,40.830767,-74.138796
NEWARK,NEWARK,7105,NJ,U,40.7334165,-74.142984
EAST BRUNSWICK,EAST BRUNSWICK,8816,NJ,U,40.4563223,-74.3988223
ROUTE 46,TOTOWA,7512,NJ,U,40.898423,-74.240287
MARLTON,MARLTON,8053,NJ,U,39.8693329,-74.9200008
VINELAND,VINELAND,8360,NJ,U,39.432657,-75.038136
PARSIPPANY,PARSIPPANY,7054,NJ,U,40.8620831,-74.3739297
WESTFIELD,WESTFIELD,7090,NJ,U,40.6501296,-74.3384378
RIO GRANDE,RIO GRANDE,8242,NJ,U,39.015454,-74.87633
MAYS LANDING,MAYS LANDING,8330,NJ,U,39.4482404,-74.6310071
